reykjavik-0925: 24 listings, 14 with 3+ bedrooms
vik-0926: 7 listings, 6 with 3+ bedrooms
hvolsvollur-0926: 13 listings, 11 with 3+ bedrooms
hofn-0927: 1 listings, 1 with 3+ bedrooms
klaustur-0927: 8 listings, 7 with 3+ bedrooms
keflavik-0928: 24 listings, 19 with 3+ bedrooms
borgarnes-0928: 18 listings, 15 with 3+ bedrooms
svolvaer-0930: 24 listings, 19 with 3+ bedrooms
reine-0930: 24 listings, 18 with 3+ bedrooms
leknes-0930: 24 listings, 19 with 3+ bedrooms
tromso-1003: 18 listings, 14 with 3+ bedrooms
gardermoen-0924: 24 listings, 21 with 3+ bedrooms
